DELIVERY_DATE,DELIVERY_HOUR,INTERVAL,ENGY
2015/1/4,2,11,14.3
2015/1/4,2,12,14.23
2015/1/4,3,1,15.6
2015/1/4,3,2,15.6
2015/1/4,3,3,19.99
2015/1/4,3,4,19.7
2015/1/4,3,5,14.35
2015/1/4,3,6,14.35
2015/1/4,3,7,14.57
2015/1/4,3,8,14.35
2015/1/4,3,9,14.35
2015/1/4,3,10,14.35
2015/1/4,3,11,14.57
2015/1/4,3,12,14.32
2015/1/4,4,1,14.29
2015/1/4,4,2,14.29
2015/1/4,4,3,14.29
2015/1/4,4,4,14.29
2015/1/4,4,5,14.3
2015/1/4,4,6,14.29
2015/1/4,4,7,14.29
2015/1/4,4,8,14.23
2015/1/4,4,9,14.29
2015/1/4,4,10,14.23
2015/1/4,4,11,14.23
2015/1/4,4,12,14.22
2015/1/4,5,1,14.23
2015/1/4,5,2,14.29
2015/1/4,5,3,14.23
2015/1/4,5,4,14.29
2015/1/4,5,5,14.29
2015/1/4,5,6,14.29
2015/1/4,5,7,14.23
2015/1/4,5,8,14.29
2015/1/4,5,9,14.23
2015/1/4,5,10,14.23
2015/1/4,5,11,14.23
2015/1/4,5,12,14.23
2015/1/4,6,1,6.99
2015/1/4,6,2,6.99
2015/1/4,6,3,12.62
2015/1/4,6,4,12.62
2015/1/4,6,5,13.04
2015/1/4,6,6,14.09
2015/1/4,6,7,14.15
2015/1/4,6,8,14.19
2015/1/4,6,9,14.2
2015/1/4,6,10,14.2
2015/1/4,6,11,14.2
2015/1/4,6,12,14.2
2015/1/4,7,1,14.19
2015/1/4,7,2,14.2
2015/1/4,7,3,14.2
2015/1/4,7,4,14.21
2015/1/4,7,5,14.21
2015/1/4,7,6,14.23
2015/1/4,7,7,14.23
2015/1/4,7,8,14.23
2015/1/4,7,9,14.29
2015/1/4,7,10,14.3
2015/1/4,7,11,14.31
2015/1/4,7,12,14.32
2015/1/4,8,1,14.22
2015/1/4,8,2,14.23
2015/1/4,8,3,14.23
2015/1/4,8,4,14.23
2015/1/4,8,5,14.29
2015/1/4,8,6,14.31
2015/1/4,8,7,14.33
2015/1/4,8,8,14.34
2015/1/4,8,9,19.7
2015/1/4,8,10,16.09
2015/1/4,8,11,14.63
2015/1/4,8,12,19.7
2015/1/4,9,1,14.3
2015/1/4,9,2,14.3
2015/1/4,9,3,14.3
2015/1/4,9,4,14.31
2015/1/4,9,5,14.31
2015/1/4,9,6,14.3
2015/1/4,9,7,14.32
2015/1/4,9,8,14.32
2015/1/4,9,9,14.32
2015/1/4,9,10,14.33
2015/1/4,9,11,14.34
2015/1/4,9,12,14.41
2015/1/4,10,1,14.35
2015/1/4,10,2,14.35
2015/1/4,10,3,14.37
2015/1/4,10,4,14.34
2015/1/4,10,5,14.31
2015/1/4,10,6,14.31
2015/1/4,10,7,14.31
2015/1/4,10,8,14.28
2015/1/4,10,9,14.28
2015/1/4,10,10,14.28
2015/1/4,10,11,13.21
2015/1/4,10,12,13.21
2015/1/4,11,1,13.04
2015/1/4,11,2,13.04
2015/1/4,11,3,14.24
2015/1/4,11,4,13.21
2015/1/4,11,5,13.2
2015/1/4,11,6,14.24
2015/1/4,11,7,13.2
2015/1/4,11,8,14.28
2015/1/4,11,9,14.19
2015/1/4,11,10,14.18
2015/1/4,11,11,14.21
2015/1/4,11,12,13.21
2015/1/4,12,1,14.35
2015/1/4,12,2,14.34
2015/1/4,12,3,14.35
2015/1/4,12,4,14.34
2015/1/4,12,5,14.33
2015/1/4,12,6,14.33
2015/1/4,12,7,14.33
2015/1/4,12,8,14.31
